id,age,job,marital,education,default_credit,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
37,35,blue-collar,married,primary,False,414,False,False,unknown,13,may,504,4,-1,0,unknown,True
38,33,management,divorced,secondary,False,5,True,False,unknown,13,may,1346,1,-1,0,unknown,True
39,38,management,married,tertiary,False,119,True,False,unknown,13,may,568,4,-1,0,unknown,True
40,23,entrepreneur,single,primary,False,4,True,False,unknown,13,may,395,2,-1,0,unknown,True
41,60,blue-collar,married,primary,False,1262,True,True,unknown,13,may,1015,1,-1,0,unknown,True
42,48,management,married,tertiary,False,1949,True,False,unknown,13,may,683,2,-1,0,unknown,True
43,45,entrepreneur,divorced,tertiary,False,-395,True,False,unknown,13,may,470,1,-1,0,unknown,True
44,36,blue-collar,married,secondary,False,1165,True,False,unknown,13,may,1001,4,-1,0,unknown,True
45,52,management,married,unknown,False,2240,True,False,unknown,13,may,845,1,-1,0,unknown,True
46,35,blue-collar,divorced,primary,False,300,True,False,unknown,13,may,945,2,-1,0,unknown,True
47,43,technician,married,secondary,False,3285,True,False,unknown,13,may,1721,2,-1,0,unknown,True
48,52,housemaid,married,secondary,False,3923,True,False,unknown,14,may,942,3,-1,0,unknown,True
49,53,technician,divorced,primary,False,1443,True,False,unknown,14,may,476,1,-1,0,unknown,True
50,48,blue-collar,divorced,primary,False,24,True,False,unknown,14,may,832,1,-1,0,unknown,True
51,41,blue-collar,single,primary,False,1618,True,False,unknown,14,may,1553,1,-1,0,unknown,True
52,39,management,divorced,tertiary,False,517,True,True,unknown,14,may,1328,1,-1,0,unknown,True
53,59,retired,married,secondary,False,1521,True,True,unknown,14,may,1125,2,-1,0,unknown,True
54,41,blue-collar,married,secondary,False,2823,True,False,unknown,14,may,858,1,-1,0,unknown,True
55,48,blue-collar,married,secondary,False,1405,True,False,unknown,14,may,629,2,-1,0,unknown,True
56,40,admin.,married,secondary,False,1535,True,False,unknown,14,may,704,1,-1,0,unknown,True
57,48,blue-collar,married,secondary,False,1596,True,False,unknown,14,may,760,1,-1,0,unknown,True
58,60,retired,married,primary,False,1542,True,False,unknown,14,may,930,1,-1,0,unknown,True
59,40,technician,single,unknown,False,3652,True,False,unknown,14,may,1028,2,-1,0,unknown,True
60,57,technician,married,tertiary,False,-1,False,False,unknown,14,may,850,2,-1,0,unknown,True
61,51,blue-collar,married,secondary,False,7180,True,False,unknown,14,may,927,1,-1,0,unknown,True
62,41,blue-collar,divorced,secondary,False,5291,True,False,unknown,14,may,1423,3,-1,0,unknown,True
63,41,blue-collar,married,secondary,False,1384,True,False,unknown,15,may,1162,4,-1,0,unknown,True
64,52,blue-collar,divorced,primary,False,-191,True,False,unknown,15,may,755,1,-1,0,unknown,True
65,59,blue-collar,married,primary,False,320,True,False,unknown,15,may,695,1,-1,0,unknown,True
66,44,blue-collar,married,unknown,False,146,True,False,unknown,15,may,483,1,-1,0,unknown,True
67,49,unknown,married,primary,False,341,True,True,unknown,15,may,520,2,-1,0,unknown,True
68,40,services,married,primary,False,-9,True,False,unknown,15,may,920,2,-1,0,unknown,True
69,41,admin.,married,primary,False,-306,True,False,unknown,15,may,500,1,-1,0,unknown,True
70,44,technician,married,tertiary,False,4580,True,False,unknown,15,may,911,2,-1,0,unknown,True
71,60,services,single,primary,False,313,True,False,unknown,15,may,920,2,-1,0,unknown,True
72,29,management,married,tertiary,False,10576,False,False,unknown,15,may,1224,2,-1,0,unknown,True
73,41,retired,divorced,primary,False,-233,True,False,unknown,15,may,1156,2,-1,0,unknown,True
74,41,blue-collar,married,primary,False,2453,True,False,unknown,15,may,1052,1,-1,0,unknown,True
75,42,technician,single,secondary,False,1364,True,False,unknown,15,may,1867,6,-1,0,unknown,True
76,36,services,single,unknown,False,281,True,False,unknown,16,may,515,1,-1,0,unknown,True
77,39,technician,married,tertiary,False,94,True,True,unknown,16,may,813,1,-1,0,unknown,True
78,31,self-employed,single,tertiary,False,144,True,False,unknown,16,may,676,1,-1,0,unknown,True
79,26,blue-collar,married,secondary,False,246,True,False,unknown,16,may,1143,3,-1,0,unknown,True
80,31,blue-collar,married,secondary,False,92,True,False,unknown,16,may,688,1,-1,0,unknown,True
81,29,admin.,single,secondary,False,163,True,True,unknown,16,may,803,1,-1,0,unknown,True
82,37,services,divorced,secondary,False,49,True,False,unknown,16,may,619,2,-1,0,unknown,True
83,33,blue-collar,single,secondary,False,-416,True,False,unknown,16,may,767,2,-1,0,unknown,True
84,24,technician,single,secondary,False,409,True,False,unknown,16,may,912,1,-1,0,unknown,True
85,50,admin.,divorced,secondary,False,363,True,False,unknown,16,may,1340,1,-1,0,unknown,True
86,27,technician,single,tertiary,False,3706,True,False,unknown,16,may,897,1,-1,0,unknown,True
87,54,management,single,tertiary,False,4393,True,False,unknown,16,may,1297,3,-1,0,unknown,True
88,30,technician,single,secondary,False,863,True,False,unknown,16,may,1193,5,-1,0,unknown,True
89,34,blue-collar,married,primary,False,695,True,True,unknown,16,may,1064,4,-1,0,unknown,True
90,37,management,single,secondary,False,792,True,False,unknown,16,may,1187,4,-1,0,unknown,True
91,41,admin.,single,secondary,False,1020,True,False,unknown,19,may,882,1,-1,0,unknown,True
92,47,blue-collar,married,secondary,False,863,True,False,unknown,19,may,943,2,-1,0,unknown,True
93,31,admin.,married,secondary,False,97,True,False,unknown,19,may,607,1,-1,0,unknown,True
94,31,blue-collar,married,secondary,False,754,True,False,unknown,19,may,1022,4,-1,0,unknown,True
95,43,services,divorced,secondary,False,1040,True,False,unknown,19,may,552,3,-1,0,unknown,True
96,37,management,divorced,tertiary,False,122,True,False,unknown,19,may,1622,2,-1,0,unknown,True
97,30,technician,single,tertiary,False,880,True,True,unknown,19,may,967,6,-1,0,unknown,True
98,41,technician,married,secondary,False,501,True,False,unknown,19,may,579,5,-1,0,unknown,True
99,36,blue-collar,married,secondary,False,4438,True,False,unknown,20,may,446,1,-1,0,unknown,True
100,35,blue-collar,divorced,secondary,False,0,True,False,unknown,20,may,1205,1,-1,0,unknown,True
101,29,services,single,secondary,False,271,True,False,unknown,20,may,1882,2,-1,0,unknown,True
102,35,blue-collar,married,primary,False,102,True,False,unknown,20,may,1334,1,-1,0,unknown,True
103,31,blue-collar,married,secondary,False,2,True,False,unknown,20,may,182,2,-1,0,unknown,True
104,35,services,married,secondary,False,4170,True,False,unknown,20,may,1777,1,-1,0,unknown,True
105,34,technician,single,secondary,False,85,True,False,unknown,20,may,1182,4,-1,0,unknown,True
106,31,admin.,single,secondary,False,431,True,True,unknown,20,may,1045,1,-1,0,unknown,True
107,44,technician,divorced,secondary,False,982,True,False,unknown,20,may,650,3,-1,0,unknown,True
108,36,blue-collar,married,primary,False,408,True,True,unknown,20,may,1063,2,-1,0,unknown,True
109,35,blue-collar,married,unknown,False,4822,True,False,unknown,20,may,843,2,-1,0,unknown,True
110,41,blue-collar,married,primary,False,1250,True,False,unknown,20,may,1392,2,-1,0,unknown,True
111,31,blue-collar,single,primary,False,216,True,False,unknown,21,may,565,1,-1,0,unknown,True
112,34,blue-collar,married,secondary,False,1207,True,False,unknown,21,may,905,1,-1,0,unknown,True
113,32,technician,married,secondary,False,791,True,False,unknown,21,may,783,2,-1,0,unknown,True
114,36,management,married,tertiary,False,849,True,True,unknown,21,may,958,2,-1,0,unknown,True
115,30,blue-collar,single,secondary,True,239,True,False,unknown,21,may,412,1,-1,0,unknown,True
116,37,technician,single,secondary,False,1211,True,False,unknown,21,may,795,1,-1,0,unknown,True
117,36,blue-collar,married,primary,False,599,True,False,unknown,21,may,649,2,-1,0,unknown,True
118,31,management,single,tertiary,False,825,True,False,unknown,21,may,506,2,-1,0,unknown,True
119,27,technician,married,secondary,False,2183,True,True,unknown,21,may,857,1,-1,0,unknown,True
120,34,retired,married,primary,False,4499,False,False,unknown,21,may,1681,1,-1,0,unknown,True
121,30,technician,single,tertiary,False,1289,True,False,unknown,21,may,1697,2,-1,0,unknown,True
122,32,technician,single,tertiary,False,4665,True,False,unknown,21,may,860,2,-1,0,unknown,True
123,37,technician,single,secondary,False,3326,True,False,unknown,21,may,799,1,-1,0,unknown,True
124,32,blue-collar,married,secondary,False,783,True,False,unknown,21,may,923,3,-1,0,unknown,True
125,33,blue-collar,married,secondary,False,0,True,False,unknown,21,may,521,3,-1,0,unknown,True
126,35,blue-collar,married,primary,False,994,True,False,unknown,23,may,1349,8,-1,0,unknown,True
127,35,self-employed,divorced,tertiary,False,1354,True,False,unknown,23,may,736,2,-1,0,unknown,True
128,30,blue-collar,single,secondary,False,239,True,False,unknown,23,may,785,1,-1,0,unknown,True
129,45,blue-collar,divorced,primary,False,-311,True,False,unknown,23,may,1030,1,-1,0,unknown,True
130,45,admin.,married,secondary,False,149,True,False,unknown,23,may,893,3,-1,0,unknown,True
131,33,blue-collar,married,secondary,False,1464,True,False,unknown,23,may,588,3,-1,0,unknown,True
132,44,management,divorced,tertiary,False,5773,False,False,unknown,23,may,597,6,-1,0,unknown,True
133,40,blue-collar,married,primary,False,278,True,False,unknown,23,may,1015,3,-1,0,unknown,True
134,31,blue-collar,married,secondary,False,2910,True,False,unknown,23,may,1392,2,-1,0,unknown,True
135,30,technician,married,tertiary,False,541,True,False,unknown,26,may,414,2,-1,0,unknown,True
136,44,technician,divorced,secondary,False,1262,True,False,unknown,26,may,788,11,-1,0,unknown,True
137,34,services,married,secondary,False,-538,True,False,unknown,26,may,682,1,-1,0,unknown,True
138,37,blue-collar,married,secondary,False,125,False,False,unknown,26,may,679,2,-1,0,unknown,True
139,28,self-employed,single,tertiary,False,0,True,False,unknown,26,may,1560,2,-1,0,unknown,True
140,32,admin.,single,secondary,False,620,True,False,unknown,26,may,1234,3,-1,0,unknown,True
141,37,blue-collar,divorced,secondary,False,316,True,False,unknown,26,may,642,2,-1,0,unknown,True
142,34,management,married,tertiary,False,2287,True,False,unknown,26,may,895,4,-1,0,unknown,True
143,38,admin.,divorced,secondary,False,198,True,False,unknown,26,may,431,2,-1,0,unknown,True
144,28,admin.,single,secondary,False,460,True,False,unknown,26,may,741,6,-1,0,unknown,True
145,31,management,divorced,tertiary,False,1145,True,False,unknown,26,may,1272,4,-1,0,unknown,True
146,59,services,married,secondary,False,-22,True,False,unknown,26,may,748,3,-1,0,unknown,True
147,24,blue-collar,married,secondary,False,685,True,False,unknown,26,may,896,3,-1,0,unknown,True
148,26,services,single,secondary,False,901,True,False,unknown,26,may,764,2,-1,0,unknown,True
149,59,retired,single,secondary,False,351,True,False,unknown,27,may,1063,5,-1,0,unknown,True
150,30,entrepreneur,single,primary,False,0,True,True,unknown,27,may,1051,1,-1,0,unknown,True
151,37,admin.,married,secondary,False,274,True,False,unknown,27,may,731,3,-1,0,unknown,True
152,30,admin.,single,secondary,False,-213,True,True,unknown,27,may,751,1,-1,0,unknown,True
153,25,blue-collar,married,secondary,False,97,True,False,unknown,27,may,709,1,-1,0,unknown,True
154,44,services,divorced,secondary,False,51,True,True,unknown,27,may,3094,2,-1,0,unknown,True
155,29,management,married,tertiary,False,314,False,False,unknown,28,may,938,2,-1,0,unknown,True
156,26,management,single,tertiary,False,6840,True,False,unknown,28,may,1560,2,-1,0,unknown,True
157,26,technician,single,secondary,False,668,True,False,unknown,28,may,576,3,-1,0,unknown,True
158,27,services,single,secondary,False,54,True,False,unknown,28,may,543,2,-1,0,unknown,True
159,25,self-employed,single,secondary,False,1242,True,False,unknown,28,may,615,2,-1,0,unknown,True
160,28,management,married,secondary,False,292,True,False,unknown,28,may,507,1,-1,0,unknown,True
161,23,services,single,secondary,False,665,True,False,unknown,28,may,1183,1,-1,0,unknown,True
162,34,management,single,tertiary,False,1058,True,False,unknown,28,may,864,2,-1,0,unknown,True
163,28,student,single,secondary,False,949,True,False,unknown,28,may,1730,1,-1,0,unknown,True
164,51,entrepreneur,married,unknown,False,606,True,False,unknown,28,may,560,9,-1,0,unknown,True
165,35,blue-collar,married,secondary,False,0,True,True,unknown,29,may,543,1,-1,0,unknown,True
166,35,admin.,married,secondary,False,404,True,False,unknown,29,may,539,1,-1,0,unknown,True
167,56,blue-collar,married,secondary,False,249,True,False,unknown,29,may,791,2,-1,0,unknown,True
168,45,unemployed,divorced,secondary,False,3354,True,False,unknown,29,may,746,1,-1,0,unknown,True
169,60,blue-collar,divorced,secondary,False,0,True,False,unknown,29,may,1207,1,-1,0,unknown,True
170,56,technician,married,secondary,False,589,True,False,unknown,29,may,535,2,-1,0,unknown,True
171,27,management,single,tertiary,False,12956,True,False,unknown,29,may,789,3,-1,0,unknown,True
172,30,admin.,married,secondary,False,873,True,False,unknown,29,may,792,3,-1,0,unknown,True
173,45,blue-collar,divorced,primary,False,594,True,False,unknown,29,may,833,2,-1,0,unknown,True
174,29,blue-collar,single,secondary,False,-20,True,False,unknown,29,may,814,2,-1,0,unknown,True
175,38,management,divorced,tertiary,False,4692,True,False,unknown,29,may,1363,2,-1,0,unknown,True
176,30,blue-collar,married,secondary,False,486,True,False,unknown,29,may,1109,3,-1,0,unknown,True
177,44,blue-collar,single,primary,False,1593,True,False,unknown,29,may,828,3,-1,0,unknown,True
178,36,management,single,tertiary,False,7606,True,False,unknown,30,may,917,1,-1,0,unknown,True
179,38,technician,married,secondary,False,226,True,False,unknown,30,may,762,3,-1,0,unknown,True
180,36,blue-collar,single,secondary,False,366,True,True,unknown,30,may,1133,2,-1,0,unknown,True
181,37,management,divorced,secondary,False,16,True,False,unknown,30,may,638,1,-1,0,unknown,True
182,35,management,single,tertiary,False,565,True,False,unknown,30,may,763,1,-1,0,unknown,True
183,38,admin.,divorced,secondary,False,19,True,False,unknown,30,may,604,2,-1,0,unknown,True
184,40,services,married,primary,False,1082,True,False,unknown,30,may,854,2,-1,0,unknown,True
185,42,unemployed,divorced,secondary,False,1713,True,False,unknown,30,may,855,2,-1,0,unknown,True
186,46,management,divorced,tertiary,False,14481,True,False,unknown,30,may,1269,1,-1,0,unknown,True
187,35,technician,divorced,secondary,False,5724,True,False,unknown,30,may,691,10,-1,0,unknown,True
188,34,technician,divorced,secondary,False,1451,True,False,unknown,30,may,1097,15,-1,0,unknown,True
189,32,services,married,secondary,False,-34,True,False,unknown,30,may,1236,2,-1,0,unknown,True
190,50,unemployed,married,secondary,False,3674,True,False,unknown,30,may,886,3,-1,0,unknown,True
191,35,blue-collar,married,secondary,False,698,True,True,unknown,30,may,1343,3,-1,0,unknown,True
192,36,technician,single,secondary,False,4136,True,False,unknown,30,may,812,3,-1,0,unknown,True
193,53,blue-collar,divorced,primary,False,2656,True,False,unknown,30,may,1980,2,-1,0,unknown,True
194,46,management,single,tertiary,False,2904,True,False,unknown,30,may,984,2,-1,0,unknown,True
195,26,management,single,tertiary,False,1004,True,False,unknown,30,may,228,2,-1,0,unknown,True
196,45,technician,single,secondary,False,410,True,False,unknown,30,may,891,4,-1,0,unknown,True
197,31,unemployed,divorced,primary,False,0,True,False,unknown,30,may,745,12,-1,0,unknown,True
198,29,management,single,tertiary,False,0,True,False,unknown,30,may,539,12,-1,0,unknown,True
199,53,entrepreneur,single,secondary,False,62,True,False,unknown,30,may,1044,5,-1,0,unknown,True
200,27,blue-collar,married,primary,False,416,True,False,unknown,30,may,1193,2,-1,0,unknown,True
201,39,management,married,tertiary,False,2763,True,False,unknown,2,jun,526,2,-1,0,unknown,True
202,36,services,married,secondary,False,2984,True,False,unknown,2,jun,394,1,-1,0,unknown,True
203,41,blue-collar,married,primary,False,143,True,True,unknown,2,jun,659,2,-1,0,unknown,True
204,36,services,married,primary,False,0,True,False,unknown,2,jun,1036,1,-1,0,unknown,True
205,32,technician,married,secondary,False,696,True,False,unknown,2,jun,815,1,-1,0,unknown,True
206,35,services,married,secondary,False,152,True,False,unknown,2,jun,563,1,-1,0,unknown,True
207,36,management,single,tertiary,False,-78,True,False,unknown,2,jun,1068,1,-1,0,unknown,True
208,35,management,married,tertiary,False,867,True,False,unknown,2,jun,230,3,-1,0,unknown,True
209,30,blue-collar,single,secondary,False,953,True,False,unknown,2,jun,747,2,-1,0,unknown,True
210,42,blue-collar,married,secondary,False,443,True,False,unknown,2,jun,671,5,-1,0,unknown,True
211,42,technician,single,secondary,True,-1129,True,False,unknown,2,jun,555,5,-1,0,unknown,True
212,32,blue-collar,married,primary,False,415,True,False,unknown,2,jun,777,4,-1,0,unknown,True
213,29,blue-collar,single,secondary,False,260,True,False,unknown,2,jun,707,14,-1,0,unknown,True
214,44,management,divorced,tertiary,True,-411,True,False,unknown,2,jun,432,4,-1,0,unknown,True
215,32,technician,single,secondary,False,1279,True,False,unknown,3,jun,1173,3,-1,0,unknown,True
216,31,unemployed,married,secondary,False,86,True,True,unknown,3,jun,963,2,-1,0,unknown,True
217,40,self-employed,married,secondary,True,-754,True,True,unknown,3,jun,941,3,-1,0,unknown,True
218,43,entrepreneur,married,secondary,False,0,False,False,unknown,3,jun,1025,7,-1,0,unknown,True
219,27,management,single,secondary,False,178,True,False,unknown,3,jun,732,2,-1,0,unknown,True
220,37,services,single,secondary,False,278,True,False,unknown,3,jun,1045,3,-1,0,unknown,True
221,23,services,single,secondary,False,425,True,False,unknown,3,jun,768,1,-1,0,unknown,True
222,25,management,married,primary,False,168,True,False,unknown,3,jun,801,1,-1,0,unknown,True
223,26,blue-collar,single,secondary,True,-36,True,False,unknown,3,jun,482,2,-1,0,unknown,True
224,47,blue-collar,divorced,primary,False,126,True,False,unknown,3,jun,2456,2,-1,0,unknown,True
225,35,admin.,married,secondary,False,-87,True,False,unknown,3,jun,1363,7,-1,0,unknown,True
226,32,technician,single,tertiary,False,6281,True,False,unknown,3,jun,1336,4,-1,0,unknown,True
227,45,management,divorced,secondary,False,644,True,False,unknown,4,jun,633,1,-1,0,unknown,True
228,30,admin.,divorced,secondary,False,377,True,False,unknown,4,jun,524,15,-1,0,unknown,True
229,29,services,single,secondary,False,-271,True,False,unknown,4,jun,578,1,-1,0,unknown,True
230,38,blue-collar,married,primary,False,5839,True,False,unknown,4,jun,984,2,-1,0,unknown,True
231,23,blue-collar,single,secondary,False,492,True,False,unknown,4,jun,638,1,-1,0,unknown,True
232,27,management,single,tertiary,False,99,True,False,unknown,4,jun,767,2,-1,0,unknown,True
233,27,management,single,tertiary,True,-713,True,False,unknown,4,jun,525,2,-1,0,unknown,True
234,29,services,single,secondary,False,32,True,False,unknown,4,jun,563,1,-1,0,unknown,True
235,30,self-employed,married,tertiary,False,543,True,True,unknown,4,jun,1449,6,-1,0,unknown,True
236,36,blue-collar,married,primary,False,403,True,False,unknown,4,jun,920,1,-1,0,unknown,True
237,35,admin.,divorced,secondary,False,437,True,False,unknown,4,jun,908,1,-1,0,unknown,True
238,36,blue-collar,married,secondary,False,1772,False,False,unknown,5,jun,208,1,-1,0,unknown,True
239,59,retired,divorced,primary,False,-88,True,False,unknown,5,jun,910,2,-1,0,unknown,True
240,47,entrepreneur,married,secondary,False,0,False,False,unknown,5,jun,1446,1,-1,0,unknown,True
241,58,entrepreneur,married,tertiary,False,853,False,False,unknown,5,jun,1149,2,-1,0,unknown,True
242,37,management,single,tertiary,False,240,False,False,unknown,5,jun,1123,1,-1,0,unknown,True
243,46,admin.,single,secondary,False,849,True,False,unknown,5,jun,508,2,-1,0,unknown,True
244,43,blue-collar,single,secondary,False,318,True,False,unknown,5,jun,736,2,-1,0,unknown,True
245,27,management,single,tertiary,False,703,True,False,unknown,5,jun,590,3,-1,0,unknown,True
246,38,services,divorced,secondary,False,61,False,False,unknown,5,jun,636,1,-1,0,unknown,True
247,53,housemaid,married,primary,False,104,False,True,unknown,5,jun,701,1,-1,0,unknown,True
248,47,blue-collar,married,secondary,False,1996,False,False,unknown,5,jun,761,2,-1,0,unknown,True
249,56,housemaid,divorced,primary,True,1238,False,False,unknown,5,jun,1558,1,-1,0,unknown,True
250,41,housemaid,married,secondary,False,879,False,False,unknown,5,jun,1053,2,-1,0,unknown,True
251,29,self-employed,married,secondary,False,425,True,False,unknown,5,jun,562,15,-1,0,unknown,True
252,50,technician,married,secondary,False,416,True,False,unknown,5,jun,494,5,-1,0,unknown,True
253,45,blue-collar,divorced,primary,False,844,False,False,unknown,5,jun,1018,3,-1,0,unknown,True
254,35,blue-collar,married,secondary,False,860,True,False,unknown,5,jun,884,4,-1,0,unknown,True
255,26,technician,single,secondary,False,639,True,False,unknown,6,jun,709,5,-1,0,unknown,True
256,26,admin.,married,secondary,False,710,True,True,unknown,6,jun,1276,2,-1,0,unknown,True
257,37,blue-collar,married,unknown,False,1508,False,True,unknown,6,jun,381,2,-1,0,unknown,True
258,30,admin.,single,secondary,False,223,True,False,unknown,6,jun,862,11,-1,0,unknown,True
259,38,management,single,tertiary,False,619,True,False,unknown,6,jun,460,4,-1,0,unknown,True
260,37,services,divorced,secondary,False,319,True,False,unknown,6,jun,467,3,-1,0,unknown,True
261,53,technician,married,secondary,False,480,False,False,unknown,6,jun,648,2,-1,0,unknown,True
262,29,blue-collar,single,primary,False,213,True,False,unknown,6,jun,2653,3,-1,0,unknown,True
263,35,management,single,tertiary,False,68,False,False,unknown,6,jun,1085,1,-1,0,unknown,True
264,28,blue-collar,married,secondary,False,2788,True,False,unknown,6,jun,369,2,-1,0,unknown,True
265,55,blue-collar,married,unknown,False,7561,False,False,unknown,6,jun,685,3,-1,0,unknown,True
266,49,management,divorced,secondary,False,-46,True,False,unknown,9,jun,1055,10,-1,0,unknown,True
267,50,services,married,secondary,False,1595,False,False,unknown,9,jun,882,1,-1,0,unknown,True
268,43,management,single,tertiary,False,1046,False,False,unknown,9,jun,901,1,-1,0,unknown,True
269,58,self-employed,divorced,tertiary,False,1382,False,False,unknown,9,jun,700,1,-1,0,unknown,True
270,38,technician,married,primary,False,217,True,False,unknown,9,jun,491,6,-1,0,unknown,True
271,48,blue-collar,divorced,primary,False,183,False,False,unknown,9,jun,940,1,-1,0,unknown,True
272,59,management,married,secondary,False,1321,False,False,unknown,9,jun,3881,3,-1,0,unknown,True
273,58,blue-collar,married,secondary,False,25,False,False,unknown,9,jun,486,3,-1,0,unknown,True
274,36,self-employed,single,tertiary,False,4844,False,False,unknown,9,jun,1137,3,-1,0,unknown,True
275,42,entrepreneur,married,tertiary,False,5345,False,False,unknown,11,jun,878,3,-1,0,unknown,True
276,41,admin.,single,secondary,False,812,False,True,unknown,11,jun,583,4,-1,0,unknown,True
277,42,admin.,married,secondary,False,105,False,False,unknown,11,jun,1159,4,-1,0,unknown,True
278,39,management,married,tertiary,False,-190,False,True,unknown,11,jun,893,8,-1,0,unknown,True
279,57,housemaid,married,primary,False,625,False,True,unknown,11,jun,867,1,-1,0,unknown,True
280,52,retired,married,unknown,False,293,False,False,unknown,11,jun,706,1,-1,0,unknown,True
281,59,retired,married,unknown,False,1033,False,False,unknown,11,jun,1199,1,-1,0,unknown,True
282,56,blue-collar,married,secondary,False,1210,False,False,unknown,11,jun,935,1,-1,0,unknown,True
283,49,management,married,tertiary,False,64,False,False,unknown,11,jun,586,1,-1,0,unknown,True
284,35,blue-collar,divorced,unknown,False,164,False,False,unknown,11,jun,967,2,-1,0,unknown,True
285,36,unemployed,married,secondary,False,1766,False,False,unknown,11,jun,595,2,-1,0,unknown,True
286,40,admin.,single,tertiary,False,1248,False,False,unknown,11,jun,1290,2,-1,0,unknown,True
287,55,blue-collar,married,secondary,False,0,False,False,unknown,12,jun,614,2,-1,0,unknown,True
288,58,admin.,married,secondary,False,826,False,False,unknown,12,jun,885,1,-1,0,unknown,True
289,39,self-employed,married,tertiary,False,2630,False,False,unknown,12,jun,651,5,-1,0,unknown,True
290,47,housemaid,single,tertiary,False,3727,False,False,unknown,12,jun,993,6,-1,0,unknown,True
291,40,management,married,secondary,False,406,True,False,unknown,12,jun,577,2,-1,0,unknown,True
292,35,blue-collar,married,tertiary,False,2999,False,False,unknown,12,jun,1141,6,-1,0,unknown,True
293,48,blue-collar,married,secondary,False,1000,True,False,unknown,12,jun,1268,2,-1,0,unknown,True
294,48,management,divorced,tertiary,False,503,False,True,unknown,12,jun,1243,7,-1,0,unknown,True
295,24,blue-collar,single,secondary,True,-203,True,False,unknown,12,jun,465,3,-1,0,unknown,True
296,49,blue-collar,married,primary,False,361,True,False,unknown,16,jun,513,2,-1,0,unknown,True
297,36,blue-collar,married,secondary,False,274,True,False,unknown,16,jun,686,11,-1,0,unknown,True
298,52,retired,divorced,tertiary,False,3687,True,True,unknown,16,jun,741,4,-1,0,unknown,True
